Publish Date,Name,Publish Type,Focus,Skillset,Tool,Brief,Award,URL,English Name
2021/04/27,【動態圖解】電子煙、加熱菸是什麼？新型菸品演化大事記,Article Content,"infographic, Video Storytelling","3D, Animation",C4D,,,https://www.twreporter.org/a/e-cigarette-infographic,E-cigarette Infographic
2021/06/21,走進離散港人心裡的房間,Article Content,Image Text Layout,,Illustrator,,,https://www.twreporter.org/a/podcast-on-the-ground-hongkongers,Entering the Room in the Hearts of Dispersed Hong Kongers
2021/11/22,交友×PUA×假投資：分解「沉浸式詐騙」手法，你需要的4個反制手段,Article Content,"Illustration, Video Storytelling",Animation,"Illustrator, After Effect",,,https://www.twreporter.org/a/online-scams-solutions,Online Scams Solutions
2021/12/28,,,,,,,,,
2022/03/12,,,,,,,,,
2022/07/10,,,,,,,,,
2022/07/11,,,,,,,,,
2022/08/11,,,,,,,,,
2022/08/24,,,,,,,,,
2022/08/24,,,,,,,,,
2022/11/17,,,,,,,,,
2022/11/18,,,,,,,,,
2022/11/22,,,,,,,,,
2022/12/27,,,,,,,,,
2023/02/27,,,,,,,,,
2023/03/22,,,,,,,,,
2023/04/27,,,,,,,,,
2023/07/03,,,,,,,,,
2023/07/31,,,,,,,,,
2023/10/17,,,,,,,,,
2023/12/02,,,,,,,,,
2023/12/26,,,,,,,,,
2024/01/08,,,,,,,,,
2024/01/10,,,,,,,,,
2024/01/16,,,,,,,,,
2024/03/12,,,,,,,,,
2024/03/15,,,,,,,,,
2024/04/02,,,,,,,,,
2024/05/16,,,,,,,,,
2024/06/13,,,,,,,,,
2024/06/13,,,,,,,,,
2024/06/27,,,,,,,,,
2024/09/19,,,,,,,,,
